Company Name, Telephone, Email, Website
BS FURNITURE INDUSTRIES (MFA-B3) , 606-9858685 , wweefurn@yahoo.com / jason@bsfurniture.com, www.bsfurniture.com
BUAN LEE INDUSTRIAL SDN BHD (MFA-B14) , 606-9710898 / 9710549, alan7688@hotmail.com, NaN
BUKIT PASIR TRADING (MFA-B15) , 606-9856282 / 9857282, NaN, NaN
BZ FURNITURE SDN BHD (MFA-B22) , 606-9727086, bzfurniture99@gmail.com, NaN
C L TAN FURNITURE SDN BHD (MFA-C27) , 606-9863187, NaN, NaN
C. F. GOLDEN INDUSTRIES SDN BHD (MFA-C29) , 606-9857599, cftee77@gmail.com, NaN
C.S.ELEGANCE SDN BHD (MFA-C23) , 606-9815106, bhlee@csmuar.com, NaN
CALLY ENTERPRISE SDN BHD (MFA-C1) , 606-9813414, NaN, NaN
CASCO FURNITURE ENTERPRISE SDN BHD (MFA-C31) , 606-9865852, cascofurn@hotmail.com, NaN
CE GLOBAL MARKETING & SOURCING SDN BHD , 06-9869910, ceglobal130@gmail.com, NaN
CF FANTASTIC INDUSTRIES SDN BHD (MFA-C37) , 016-3364007, sharon@cffantastic.com / chenfen8@gmail.com, www.cffantastic.com
CGHB STEEL FABRICATION TRADING (MFA-C43) , 606-9864458, cgan1955@gmail.com, NaN
CHANGI INDUSTRIES SDN BHD (MFA-C33) , 606-9727669, changi@changi.net, www.changi.net
CHAU CHEN FURNITURE MANUFACTURER SDN BHD (MFA-C3) , 606-9868686, chauchen88@yahoo.com, NaN
CHEAY ENTERPRISE SDN BHD (MFA-C4) , 06-9865050, info@clvgroup.com.my, www.clvgroup.com.my / www.vistawood.com
CHEE MAY TRADING SDN BHD (MFA-C38) , 06-9865818, cmay8565@hotmail.com, NaN
CHEN FENG ENTERPRISE SDN BHD (MFA-C28) , 6016-2071230, sharon@cffantastic.com / chenfen8@gmail.com, www.cffantastic.com
CHERNYEN INDUSTRIES SDN BHD (MFA-C5) , 06-9858998, info@chernyen.com, www.chernyen.com
CHIAO - LEE POINT SDN BHD (MFA-C6) , 606 - 9540603, k.b.lee@chiaoleepoint.com, www.chiaoleepoint.com
CHIKIA INDUSTRY (M) SDN BHD (MFA-C7) , 606-9868788 / 9868789, pang_chikia@hotmail.com, NaN
CHILY DECO SDN BHD (MFA-C40) , 06-9860261, chilydecosb@gmail.com, NaN
CHIN SING FURNITURE (MFA-C9) , NaN, NaN, NaN
CHUA PUI HANG FURNITURE (MFA-C10)  , 606-9522864, NaN, NaN
CHUAN AIK INDUSTRIES SDN BHD (MFA-C26) , 606-9753816, geeyeo@yahoo.com, NaN
CHUAN YIE FURNITURE INDUSTRIES SDN BHD (MFA-C24) , 606-9863805, chuanyie@hotmail.com, NaN
CHUANHENG FURNITURE PRODUCTS SDN BHD (MFA-C11) , 606-9875678, info@chuanheng.net / ong@chuanheng.net, www.chuanheng.net
CICO ENTERPRISE (MFA-C32) , 606-9857524, cicowood@gmail.com, NaN
CIVIC TAI MANUFACTURING SDN BHD (MFA-C12) , 606-9868781 / 9868791, info@civictaifurniture.com, www.civictaifurniture.com
CK INDUSTRY SDN BHD (MFA-C35) , 6012-6238330, ckplastic@live.com, NaN
CKE ENTERPRISE SDN BHD (MFA-C13) , 606-9866999, info@ckeinternational.com, www.ckeinternational.com
CKL GLOBAL SDN BHD (MFA-C14) , 606-9815435, rachel@cklglobal.com / cklglobal@cklglobal.com, www.cklglobal.com
CLASSIC CREATION OFFICE SYSTEM SDN BHD , NaN, NaN, NaN
COMBI TRADING SDN BHD (MFA-C16) , 06-9858599 / 9858577, export@bripanel.com / chn_ching@yahoo.com, www.dominant.com.my
COMBINATION DESIGN (MFA-C17) , NaN, NaN, NaN
COMFY FACTOR SDN BHD (MFA-C18) , 606-9866500, info@comfyfactor.com / sam@comfyfactor.com, www.comfyfactor.com
COMMERCE FAIR FURNITURE SDN BHD (MFA-C39) , 06-9858818, chong@fairpsb.com, NaN
COREWORLD SDN BHD (MFA-C36) , 606-9863404, amy@cwfurniture.com.my  / tee@cwfurniture.com.my, NaN
CORPORATE SPECIALISTS SDN BHD (MFA-C20) , 606-9811120, info@csmuar.com / admin@csmuar.com, NaN
COSMINES SDN BHD (MFA-C25) , 606-9815121 / 012-638 3222, info@cosmines.com / cherly@cosmines.com, www.cosmines.com
COSTA FURNITURE SDN BHD (MFA-C30) , 606-9850879, costafurniture88@gmail.com, NaN
CRYSTAL COATINGS SDN BHD (MFA-C21) , 606-9858090, ong77@yahoo.com, NaN
CT HAUP HENG SDN BHD (MFA-C22) , 606-9857202, lhib@liihenfurniture.com / doris@liihenfurniture.com, www.liihenfurniture.com
CT HENG FURNITURE SDN BHD (MFA-C34) , 606-9547282, jane@ctheng.com / heng@ctheng.com, www.ctheng.com
CT POON TRADING (MFA-Y19) , 06-9859289, ctpoonpoon@hotmail.com, NaN
CYBORG INDUSTRIES (M) SDN BHD (MFA-C41) , 06-9865563, cyborg989@outlook.com, NaN
D & E MARKETING (M) SDN BHD (MFA-D1) , 606-9545558, dnemrkt@streamyx.com / dnemktg@yahoo.com, www.dnemarketing.com
DACHENG INDUSTRIES (M) SDN BHD , 06-9869039, dacheng5000@yahoo.com, NaN
DARWIN MOULDING ENTERPRISE (MFA-D17) , 06-9863315, darwinnme5959@gmail.com, NaN
DELIGHTFUL RHYTHM SDN BHD , NaN, NaN, NaN
DELTA FURNITURE SDN BHD (MFA-D8) , NaN, shirleyng_9191@hotmail.com, NaN
DELTASPRING SDN BHD (MFA-D12) , +606 951 5219, dison@deltaspring.org, NaN
DI CHIN ENTERPRISE  (MFA-C42) , 06-9872622, dichin2011@gmail.com, NaN
DI CHIN ENTERPRISE SDN BHD (MFA-D11) , 019-259 3816, dichin2011@gmail.com, NaN
DI HONG INDUSTRIES SDN BHD (MFA-D15) , 606-9868688, dihong3966@hotmail.com, NaN
DIGITAL FURNITURE SDN BHD (MFA-D3) , 06-986 5702, NaN, digitalfurniture.com.my
DMI COATINGS SDN BHD (MFA-D4) , +606 986 4818, NaN, NaN
DOMAIN MANUFACTURING SDN BHD (MFA-D9) , +606 986 0988, dmmfg@tm.net.my, NaN
DOUBLE SOON HUAT ENTERPRISE (MFA-D7) , NaN, dshcsc@gmail.com, NaN
DREAM SOFA INDUSTRIES (MFA-D10) , NaN, nee3033@hotmail.com, NaN
DUTHAI TRADING SDN BHD (MFA-D14) , 016-7130262, duthaitrading@gmail.com, NaN
E & W FURNITURE INDUSTRIES (MFA-E16) , +606 985 0217, NaN, NaN
E IMAGE FURNITURE INDUSTRIES (MFA-E13) , NaN, e.image@ymail.com, NaN
EA FURNITURE (MFA-E14) , +606 986 3028, ea_furniture@hotmail.com, NaN
ECO PALLETS SDN BHD (MFA-E2) , +606 981 1718, NaN, NaN
ECOMATE SDN BHD (MFA-E20) , 06-9868558, account@ecomate.com.my, www.ecomate.com.my
EEVEE FURNITURE INDUSTRIES (MFA-E21) , +06952 4290, eeveefurind@gmail.com, NaN
EF FURNITURE SDN BHD (MFA-E3) , +606 985 7202, lhib@liihenfurniture.com, www.liihenfurniture.com
ELEGANT FURNITURE INDUSTRIES (MFA-E15) , +606 986 5331, ckelegant@yahoo.com, NaN
ELEGANT WOOD-LINK SDN BHD (MFA-E4) , +606 981 1328, elegant@elegant-wood.com, www.elegant-wood.com
EMBRACE INDUSTRIES SDN BHD (MFA-E11) , +606 986 8580, yhpua@eritz.com.my / amy@embrace.com.my, www.embrace.com.my
ENG SHENG FURNITURE INDUSTRY (MFA-E5) , NaN, NaN, NaN
ES FURNITURE (M) SDN BHD (MFA-E1) , +606 954 4366, info@esfurniture.com / lew@esfurniture.com, www.esfurniture.com
EURO COATINGS SDN BHD (MFA-E6) , NaN, NaN, NaN
EURO DOME SDN BHD (MFA-E7) , +606 986 8971, eurodomesb@gmail.com / ed@eurodomefurniture.com, www.eurodomefurniture.com
EVERGLOW UPHOLSTERY SDN BHD (MFA-E19) , 06-9812088, everglownew@gmail.com  / ku 1480@gmail.com, NaN
EVERISE WOOD PRODUCTS INDUSTRIES (MFA-E22) , 012-6020422, everisewood@gmail.com, NaN
EVERRISE FURNITURE INDUSTRIES SDN BHD (MFA-E8) , +606 9858888, everrisebakri@hotmail.com, NaN
EVERY RED ENTERPRISE SDN BHD (MFA-E17) , +607 429 1848, everyred2010@hotmail.com, NaN
EXCELLENCE STYLE FURNITURE INDUSTRIES (MFA-E12) , +6017 651 6669, excellencestyle.fur@gmail.com, www.excellencestyle.com.my
EXELIENT SDN BHD (MFA-E23) , 606-9860901, exelientsdnbhd@gmail.com, NaN
EXUS BIOMASS SDN BHD (MFA-E18) , 012-7602866, law@exusbiomass.com, www.exusbiomass.com
EY MARKETING SDN BHD (MFA-E10) , NaN, NaN, NaN
FAIR PRODUCTION SDN BHD (MFA-F15) , 06-9858818, fair@fairpsb.com, http://fairpsb.com
FANTASTIC WOOD PRODUCTS SDN BHD （MFA-F10） , 06-9868255, fantasticwoodproducts@yahoo.com, NaN
FASHION BED GROUP SDN BHD (MFA-F18) , 017-6898725, info@fashionbed.net, NaN
FASPARTS SDN BHD (MFA-F14) , +606 986 0190, fasparts@live.com, NaN
FAVOURITE DESIGN SDN BHD (MFA-F1) , +606 985 5222, christina@liihenfurniture.com, www.liihenfurniture.com
FENG YONG TRADING (MFA-F2) , NaN, NaN, NaN
FENG YUAN INDUSTRIES SDN BHD (MFA-F3) , +606 986 8234, info@fengyuanind.com / jklim@fengyuanind.com / anitalim@fengyuanind.com / spchung@fengyuanind.com / hr02@fengyuanind.com, www.fengyuanind.com
FIRST FLAMES SDN BHD （MFA-F7） , +606-986 3480 / +606-986 3481, info@firstflames.com.my, www.firstflames.com.my
FIRST VELOCITY SDN BHD (MFA-F20) , 606-9865000, enquiry@eritz.com.my, www.eritz.com.my
FLECXI ENTERPRISE (MFA-F4) , NaN, NaN, NaN
FLORENCE BED SDN BHD (MFA (A) - F1) , 607-4558878, meixian@florencebed.com.my, www.florencebed.com.my
FORTUNE STAR FURNITURE INDUSTRIES SDN BHD (MFA-F12) , +6012 619 1500, ortunestar7@hotmail.com, NaN
FU KANG FURNITURE ENTERPRISE (MFA-F9) , NaN, fukangfurniture@hotmail.com, NaN
FU SENG FURNITURE INDUSTRIES SDN BHD , +606 986 3002, fusheng2009@gmail.com, NaN
FUJIBED MALAYSIA SDN BHD (MFA-F5) , +606 952 0555, fujibed@fujibed.com.my / admin@fujibed.com.my, www.fujibed.com.cn
FURNILIFE SDN BHD (MFA-F19) , 606-9528722, frankielim@furnilife.com / annietan@furnlife.com, www.furnilife.com
FURNIMAT SOLUTIONS AND MARKETING SDN BHD (MFA-F21) , 06-9518018, enquiry.furnimat@gmail.com, NaN
FURNSTARS CONCEPT SDN BHD (MFA-F17) , 017-6896066, wiwi2891@hotmail.com, NaN
FURNTRADE SDN BHD (MFA-F6) , +606 986 8592, fmyftrade@myjaring.net / ftmslow@myjaring.net, www.furntrade.net
G HONG FURNITURE INDUSTRY (MFA-G15) , +606 951 3878, nellytan@hotmail.co.uk, NaN
G-ORIENT HARDWARE SDN BHD (MFA-G10) , +606 986 8596 / +606 986 8597, gorientm@streamyx.com, www.g-orient.com
G-STAR INDUSTRIES SDN BHD (MFA-G16) , +606 986 3040, gstarisb@yahoo.com.my, NaN
GAIN EASTERN ENTERPRISE SDN BHD (MFA-G18) , +606 951 0459, gaineastern@hotmail.com, NaN
GAMMA WOOD SDN BHD (MFA-G1) , +606 985 8288, info@gammawood.com, www.gammawood.com
GAO SHENG FURNITURE (M) SDN BHD (MFA-G17) , +606 985 7950, gaosheng@gmail.com, NaN
GATHERWOOD INDUSTRIES (M) SDN BHD (MFA-G2) , +606 975 6466, gatherwd@gmail.com, NaN
GEE SIA FURNITURE SDN BHD (MFA-G3) , +606 981 3462, NaN, NaN
GEE SOON FURNITURE (MFA-G14) , NaN, j.jun_0331@hotmail.com, NaN
GEEN SCREW INDUSTRIES SDN BHD (MFA-G4) , +606 973 6500, geenscrew@gmail.com / sales@geenscrew.com, www.geenscrew.com
GET FURNITURE SDN BHD (MFA-G23) , 606-9507107, gubunited@gmail.com, NaN
GF FURNITURE SDN BHD (MFA-G21) , NaN, NaN, NaN
GLOBALLIS INDUSTRY SDN BHD (MFA-G19) , +606 986 6435, NaN, NaN
GLORY FURNITURE SPRAYING (MFA-G27) , 06-9858996, NaN, NaN
GM FURNISHING (M) SDN BHD (MFA-G28) , 011-18530028, gmfurnishing0028@gmail.com, NaN
GOLD FURNITURE SDN BHD (MFA-G13) , 606-985 8097/06-985 8099, goldfurniture@yahoo.com / goldfurniturepurchase@gmail.com, NaN
GOLD STONE ARTS SDN BHD (MFA-G7) , +606 981 2268, gsa@goldstone-arts.com, www.goldstone-arts.com
GOLDEN HOME ELEGANCE SDN. BHD.  , 606-9736171, info@homelegance.com.my, www.homelegance.com.my
GOLDEN LIFE UPHOLSTERY SDN BHD (MFA-G26) , 012-6198858, goldenlife@glusb.com / markeitng@glusb.com, www.glusb.com
GOLDEN STYLE ENTERPRISE (MFA-G20) , +606 975 2222, jooweeg@hotmail.com, NaN
GOLDEN TECH FURNITURE INDUSTRIES SDN BHD , +606 985 6333, info@goldentechfurniture.com / fong@goldentechfurniture.com, www.goldentechfurniture.com
GOLDINJAYA ENGINEERING TRADING & SERVICES SDN. BHD. (MFA-G6) , 606-9515633, sales@goldinjaya.com.my / jkng@goldinjaya.com.my, www.goldinjaya.com.my
GOLDPINE INTERNATIONAL MANUFACTURING SDN BHD (MFA-G22) , +6012-6545101, goldpine@goldpine.com.my, NaN
GOOD CITY ENTERPRISE  (MFA-G29) , 019-6558166, kooh5217@hotmail.com, NaN
GOODWOOD HECTARES SDN BHD (MFA-G25) ,  606-9863905, mmei26@yahoo.com, NaN
GRAND VICTERY FURNITURE SDN BHD (MFA-G11) , +606 985 7335 / +606 985 0335 / +606 985 9335, info@gvictery.com  hongchon@live.com, www.gvictery.com
GREAT FOAM INDUSTRIES SDN BHD , +606 986 5773 / +606 986 4716, greatfoam@hotmail.com, NaN
GUB FURNITURE INDUSTRIES SDN BHD , 016-7966789, gubunited@gmail.com, www.gubfurniture.com
HAI SENG FURNITURE TRADING (MFA-H1) , +606 976 1055, NaN, NaN
HAK HUAT ENGINEERING WORKS (MFA-H2) , +606 987 4698, NaN, NaN
HANAKO FURNITURE ENTERPRISE (MFA-H39) , 017-6086675, info@goldentechfurniture.com, NaN
HAUP SHEN FURNISHING (M) SDN BHD (MFA-H21) , +606 986 0064, NaN, NaN
HENZ HERITAGE SDN BHD (MFA-H4) , NaN, NaN, NaN
HENZ SHEN ENTERPRISE (MFA-H22) , +606 980 7330, henzshen@hotmail.com, NaN
HERK CHENG ENTERPRISE (M) SDN BHD (MFA-H5) , +606 986 9898, herkcheng@hotmail.com, NaN
HEXIN FURNITURE SDN BHD (MFA-H40) , 017-2276355, hexinfurniture@gmail.com, NaN
HIGH GRADE FURNITURE SDN BHD (MFA-H27) , +606 986 0094, whp@highgrade.com.my, NaN
HIGH VALUE ENTERPRISE SDN BHD (MFA-H6) , +606 985 8888, info@highvalue.com.my, www.highvalue.com.my
HILL PRODUCT SDN BHD (MFA-H32) , 606-9863291, hirowang99@gmail.com, NaN
HO HUAK IRON FACTORY (MFA-H34) , 012-6395015, hohuak@live.com, NaN
HOCK GUAN SENG SDN BHD (MFA-H28) , +606-9812746, hockguanseng@yahoo.com, NaN
HOE TECK WOOD SDN BHD (MFA-H35) , 016-6911910, hemu.ent@gmail.com, NaN
HOK BAN FURNITURE INDUSTRY (MFA-H29) , +606 986 5627, hockban@gmail.com, NaN
HOLZERN FINISHING SDN BHD
(OCEAN MISSION SDN BHD) (MFA-O1) , +606 987 2243, xiryn_05@hotmail.com, NaN
HOME BEST ENTERPRISE CORPORATION SDN BHD , +606 985 6661, homebest@homebest.com, www.homebest.com
HOME BEST ENTERPRISE CORPORATION SDN. BHD. (MFA-H7), +606 985 6661, homebest@homebest.com / admin@relaxfurniture.com, www.homebest.com
HOME CUSHION FURNITURE SDN BHD (MFA-H25) , +606 981 2550, ng_soonhow@yahoo.com, NaN
HOME NEWCASTLE SDN BHD (MFA-H43) , 606-9865000, enquiry@eritz.com.my, www.eritz.com.my
HOME-JS FURNITURE SDN BHD (MFA-H38) , 606-9850850, anna@home-jsfurniture.com, home-jsfurniture.com.my
HOMEOURS SDN BHD (MFA-H44) , 606-9865000, enquiry@eritz.com.my, www.eritz.com.my
HOMESNLIVING INDUSTRIES (M) SDN BHD (MFA-H3) , +606 986 7555, NaN, NaN
HOMMAX FURNITURE SDN BHD (MFA-H37) , 06-9865111, hommax@axfurniture.com, www.hommaxfurniture.com
HOMMAX UPHOLSTERY SDN BHD (MFA-H36) , 016-2380550, hommaxupholstery@axfurniture.com, NaN
HON DAS FURNITURE ENTERPRISE , 014-6256020, hondasfurniture@gmail.com, NaN
HONG LI WOOD RESOURCES SDN BHD (MFA-H31) , 012-68977222, honglitimber@gmail.com, NaN
HONGJING MACHINERY (MFA-H11) , +606 954 1130, hongjingmachinery@yahoo.com, NaN
HOOVER FURNITURE INDUSTRIES (MFA-H13) , NaN, NaN, NaN
HORNG LONG INDUSTRIAL SDN BHD (MFA-H14) , +606 986 7776, hl@hornglong.com.my, www.yeachiuan.com.tw
HOUNG TA SDN BHD (MFA-H30) , +606 981 5587 / +606 981 5588, houngta2000tue@gmail.com, www.houngta.com
HOUSE GOODS INDUSTRIAL SDN BHD (MFA(A)-H1) , 06-3511784, househg@pd.jaring.asia, www.housegoods.com.my
HOVIS INDUSTRIES SDN BHD (MFA-H23) , +606 986 8819, hovis.industries@yahoo.com, NaN
HT WOOD ENTERPRISE (MFA-H15) , NaN, NaN, NaN
HUA JOO SUCCESS INDUSTRY SDN BHD (MFA-H24) , +606 985 7858, hua_joo@yahoo.com, NaN
HUANG FAH FURNITURE INDUSTRY SDN BHD , +606 988 1849, huangfah@streamyx.com, www.huangfah.com
HUDEE INDUSTRIES SDN BHD (MFA-H17) , +606 986 6161 / +606 986 6758, NaN, NaN
HUES FURNISHING SDN BHD (MFA-H42), 06-9858288, huesfurnishings@gmail.com, NaN
HUP SHENG FURNITURE INDUSTRIES SDN BHD (MFA-H18) , +606 978 1517 / +606 978 1516, marketing@hupsheng.com.my, www.dhepfurniture.com.MY
HUP SIN FATT TRADING (MFA-H19) , +606 981 1815, NaN, NaN
HWEE & HONG FURNITURE (MFA-H20) , +606 975 1604, hweehongfurniture@gamil.com, NaN
HWS FURNITURE ENTERPRISE (MFA-H41) , 012-6104004, hws2017@hotmail.com, NaN
IDEA STYLE FURNITURE SDN BHD (MFA-I12) , 06-9556600 / 06-9556602, joonna@ideastylefurniture.com, www.ideastylefurniture.com
IDEAL HOPE FURNITURE SDN BHD (MFA-I1) , +606 987 4710 / +606 987 2928, info@ideahope.com.my, www.idealhope.com.my
IMAX RESOURCES SDN BHD (MFA-I2) , +606 987 2000, imaxres@imaxres.com, NaN
IMEI FURNITURE INDUSTRIES SDN BHD (MFA-I3) , +606 987 2227, imei@streamyx.com / alvin@imeifurniture.com / admin@imeifurniture.com / account@imeifurniture.com, www.imeifurniture.com
INART FURNITURE SDN BHD (MFA- I 4) , +606 987 4227, inart@inartfurniture.com / sales@inartfurniture.com, www.inartfurntiure.com
INSTYLE FURNITURE INDUSTRIES SDN BHD (MFA-I10) , NaN, NaN, NaN
INSTYLE SOFA SDN BHD (MFA-I5) , +606 972 8820 / +606 972 8062, instylesofa@yahoo.com / instylesofa2@yahoo.com, www.instylesofa.net
INTER MULTI FURNITURE SDN BHD (MFA- I 14) , 07-4163333, intermultiandy@yahoo.com / chia873@hotmail.com, NaN
INTERNATIONAL BUSINESS FURNITURE SDN BHD , 019-2274991, jbcm06@gmail.com, NaN
INTIPARK SDN BHD (MFA-I9) , NaN, NaN, NaN
IOI FURNITURE SDN BHD (MFA-I13) , 06-9868199, ioifurnituresb@gmail.com, NaN
ISK INIX SDN BHD (MFA-I16) , 06-9736316, isktop@yahoo.com, NaN
IVORIE INTERNATIONAL SDN BHD (MFA-I15) , 06-9512462, info@ivorieinternational.com, www.ivorieinternational.com
IVORY COLLECTION SDN BHD , NaN, NaN, NaN
JANPANG ENTERPRISE SDN BHD (MFA-J6) , 606-9519281, janpangent@gmail.com, NaN
JAYE-TECH INDUSTRIES SDN BHD (MFA-J1) , +606 986 9049 / +606 986 5901, jayetech@hotmail.com, www.jayetech.com.my
JETEXIM BUSINESS SDN BHD (MFA-J11) , 06-9555855, gloryjet@gmail.com, glory4erer.com
JIA LER SPRAYING FURNITURE SDN BHD (MFA-J7) , 606-9863194, vicky5263@hotmail.com, NaN
JIA YE WOOD SDN BHD (MFA-J3) , +606 987 3155, jiayewood@hotmail.com, NaN
JIA YUAN TRADING SDN BHD (MFA-J5) , 606-9873155, jytrading@hotmailc.om, NaN
JIAN XIN FURNITURE ENTERPRISE (MFA-J12) , 019-6667841, jianxin8281@gmail.com, NaN
JIAN XING ENTERPRISE (MFA-J2) , NaN, jian.xing2010@hotmail.com, NaN
JIT FURNITURE SDN BHD (MFA(A)-J1) , 06-2658758, jitfurniturefw@gmail.com / jitacctjf@gmail.com, NaN
JOHANN & JOANN CONCEPT SDN BHD (MFA-J9) , 06-9850000, admin@jnjconcept.com info@jnjconcept.com, www.jnjconcept.com
JONFONG WOOD PRODUCTS SDN BHD (MFA-J8) , 606-3513581, jf@jonfongwood.com, http://www.jonfongwood.com
JUNMA FURNITURE TRADING  (MFA-J13) , 606-9856611, jmfurn@hotmail.com, NaN
JUSTERN ENTERPRISE (MFA-J4) , +606 985 0850, anna@home-jsfurniture.com, NaN
K S WOOD ART SDN BHD (MFA-K10) , +6012 688 8933, alicelee8863@yahoo.com / kidzgarden@hotmail.com, NaN
KA YON FURNITURE INDUSTRIES SDN BHD (MFA-K12) , +606 987 2044, jasminelim5272@gmail.com, NaN
KAADEE FURNITURE & RENOVATION WORK SDN BHD (MFA-K1) , +606 986 3285, hlan@kaadeefurniture.com, www.kaadeefurniture.com
KAI HUAT FURNITURE TRADING SDN BHD (MFA-K2) , +606 986 7125, kaihuatfurniture@gmail.com, NaN
KAR SOON HENG INDUSTRIES SDN BHD (MFA-K21) , 06-9857272, karsoonheng@hotmail.com, NaN
KE COATING SDN BHD (MFA-K23) , 016-2755515, kecoating83@gmail.com, NaN
KEPPEL FURNITURE INDUSTRIES SDN BHD (MFA-K13) , NaN, kfi@streamyx.com.my, NaN
KEPPEL WOOD INDUSTRIES (M) SDN BHD (MFA-A2) , 017-2645588, afafurniture@afafurniture.com, www.afafurniture.com
KH BROTHERS FURNITURE (MFA-K24) , 017-8436806, khbrothers15@gmail.com, NaN
KIAN HONG TRADING (MFA-K3) , +606 951 6327, NaN, NaN
KIAN HUAT TRADING CO (MFA-K4) , NaN, NaN, NaN
KIAN LEE WOOD ENTERPRISE (MFA-K20) , 606-9811889, kianleewood@gmail.com, NaN
KIAN LEE WOOD INDUSTRIES SDN BHD (MFA-K14) , +606 981 1889, kianleewood@gmail.com, NaN
KIAN NAM FURNITURE (M) SDN BHD (MFA-K5) , +606 952 3184, NaN, NaN
KIAN SWEE SENG INDUSTRIES SDN BHD (MFA-K8) , +606 986 5598, info@kiansweeseng.com, www.kiansweeseng.com
KILANG KAYU GETAH & PERABUT SDN BHD (MFA-K16) , +606 448 6100, kkg2011@yahoo.com.my, NaN
